Node, 368
TIME, epelx, epely, epelz, epelxy, epelyz, epelxz, epplx, epply, epplz, epplxy, epplyz, epplxz, sx, sy, sz, sxy, syz, sxz
0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.2, -2.858861117E-04, 7.840113249E-04, -3.511730029E-06, -3.847431344E-06, -3.388779151E-04, 6.603850693E-07, 0, 0, 0, 0, 0, 0, 13.4809585, 183.018555, 58.2264366, -0.304834902, -26.8495579, 5.23228161E-02
1.4, -5.503591674E-04, 1.477784594E-03, 3.90346213E-06, -6.381716958E-06, -6.472654641E-04, 1.020419404E-06, -2.997233423E-05, 4.064574023E-05, -1.0673406E-05, -2.176238922E-07, -2.253717139E-05, 3.492168332E-08, 23.474102, 344.856873, 111.30341, -0.505628586, -51.2833405, 8.084863424E-02
1.7, -6.828158803E-04, 1.710341312E-03, 2.16372573E-04, -7.740345609E-06, -6.454186805E-04, 1.018966486E-06, -1.260378282E-03, 1.492781623E-03, -2.324033703E-04, -8.859933587E-06, -7.456360036E-04, 1.173506462E-06, 39.6324387, 418.855804, 182.119225, -0.613273621, -51.1370163, 8.073350787E-02
2, -7.819496677E-04, 1.910717925E-03, 3.669950238E-04, -8.964947483E-06, -6.737987278E-04, 1.142079327E-06, -3.016289324E-03, 3.418521257E-03, -4.022318899E-04, -2.105199383E-05, -1.661073009E-03, 2.727606443E-06, 53.8567619, 480.541016, 235.920303, -0.710299969, -53.3855896, 9.048786759E-02
2.2, -2.140566576E-04, 4.017223982E-04, 3.737491206E-04, -2.427877916E-06, -6.737272197E-04, 1.14004024E-06, -3.016289324E-03, 3.418521257E-03, -4.022318899E-04, -2.105199383E-05, -1.661073009E-03, 2.727606443E-06, 32.802248, 130.379539, 125.946854, -0.192362785, -53.3799248, 9.03262794E-02
2.4, 3.302124533E-04, -1.051850326E-03, 3.510182287E-04, 3.843022569E-06, -6.494575937E-04, 1.079183221E-06, -2.974303439E-03, 3.347034799E-03, -3.727313742E-04, -2.072517236E-05, -1.690255245E-03, 2.775025678E-06, 8.27925944, -210.724533, 11.5761747, 0.304485589, -51.4570255, 8.550453186E-02
2.7, 6.574836443E-04, -1.634323911E-03, -1.171290714E-04, 6.923215551E-06, -3.459912114E-04, 5.20488129E-07, -8.244304336E-04, 7.122083916E-04, 1.122220274E-04, -6.136273441E-06, -2.164074453E-03, 3.462550012E-06, -25.8281841, -388.991531, -148.574501, 0.548531532, -27.4131498, 4.123866558E-02
3, 8.347835101E-04, -2.01634469E-03, -3.929785889E-04, 9.478528227E-06, -2.356775221E-04, 4.271953458E-07, 2.674759482E-03, -3.099126276E-03, 4.243667936E-04, 1.811966649E-05, -2.604434034E-03, 4.295514373E-06, -54.84692, -506.641098, -249.399994, 0.750991344, -18.6729116, 3.384700418E-02
3.2, 2.667820372E-04, -5.07073506E-04, -3.997174063E-04, 2.927627065E-06, -2.356241675E-04, 4.258013178E-07, 2.674759482E-03, -3.099126276E-03, 4.243667936E-04, 1.811966649E-05, -2.604434034E-03, 4.295514373E-06, -33.7879009, -156.414238, -139.402428, 0.231958151, -18.668684, 3.373657167E-02
3.4, -2.983982413E-04, 9.95885639E-04, -4.032103025E-04, -3.554795057E-06, -2.350064606E-04, 4.203475328E-07, 2.670424408E-03, -3.091520048E-03, 4.210956686E-04, 1.809452078E-05, -2.605222515E-03, 4.296451152E-06, -12.3109407, 192.783272, -28.9196224, -0.28164915, -18.6197424, 3.33044678E-02
3.7, -6.286201242E-04, 1.591924054E-03, 8.727015302E-05, -6.718553777E-06, -1.484971071E-04, 2.370885568E-07, 6.120665348E-04, -5.267382367E-04, -8.532831271E-05, 3.970537364E-06, -2.742660232E-03, 4.503721357E-06, 25.2445755, 377.115417, 138.685654, -0.532316685, -11.7655401, 1.878470182E-02
4, -8.232449763E-04, 1.996075734E-03, 3.77577031E-04, -9.236064216E-06, -1.276843686E-04, 2.349353281E-07, -2.773507033E-03, 3.183607478E-03, -4.101004597E-04, -1.917993359E-05, -2.928411006E-03, 4.869423719E-06, 53.8073444, 500.561264, 244.091446, -0.731780529, -10.1165309, 1.861409843E-02
4.2, -2.55057661E-04, 4.863490467E-04, 3.842972656E-04, -2.551823854E-06, -1.285268372E-04, 2.470271738E-07, -2.773507033E-03, 3.183607478E-03, -4.101004597E-04, -1.917993359E-05, -2.928411006E-03, 4.869423719E-06, 32.7435122, 150.227959, 134.056679, -0.202182531, -10.1832805, 1.957215369E-02
4.4, 3.120479232E-04, -1.020922733E-03, 3.902981844E-04, 4.063306335E-06, -1.284568134E-04, 2.49838422E-07, -2.772481414E-03, 3.181819106E-03, -4.093376774E-04, -1.918354246E-05, -2.928492962E-03, 4.869318218E-06, 11.5859904, -199.638596, 23.9856472, 0.321938884, -10.177732, 1.979488134E-02
4.7, 6.354328361E-04, -1.606759557E-03, -9.717649664E-05, 6.895748811E-06, -8.996246834E-05, 1.670661618E-07, -6.927362701E-04, 5.986691394E-04, 9.40671307E-05, -4.758574505E-06, -2.990169334E-03, 4.998633813E-06, -26.2958384, -381.597092, -142.386238, 0.546355247, -7.12779546, 1.323677972E-02
5, 8.260147879E-04, -2.001574379E-03, -3.827442997E-04, 9.398507245E-06, -8.811046428E-05, 1.777594889E-07, 2.709706314E-03, -3.12373077E-03, 4.140244127E-04, 1.880027412E-05, -3.092333092E-03, 5.241634426E-06, -54.3068562, -502.370987, -245.848679, 0.744650841, -6.98105979, 1.408401877E-02
5.2, 2.578319109E-04, -4.918302293E-04, -3.894623223E-04, 2.884764399E-06, -8.925345173E-05, 1.714412861E-07, 2.709706314E-03, -3.12373077E-03, 4.140244127E-04, 1.880027412E-05, -3.092333092E-03, 5.241634426E-06, -33.2394581, -152.032066, -135.810699, 0.228562117, -7.07161975, 1.358342171E-02
5.4, -3.092336847E-04, 1.015351387E-03, -3.954149288E-04, -3.741629513E-06, -8.921188783E-05, 1.732809665E-07, 2.70862144E-03, -3.12183483E-03, 4.132133035E-04, 1.880544005E-05, -3.092381754E-03, 5.24155621E-06, -12.0758171, 197.819969, -25.7322273, -0.29645217, -7.06832647, 1.372918114E-02
5.7, -6.340679829E-04, 1.603308541E-03, 9.350975597E-05, -6.494537956E-06, -6.809976912E-05, 1.308004585E-07, 6.361285923E-04, -5.445429706E-04, -9.158561443E-05, 5.098667316E-06, -3.125714953E-03, 5.31904152E-06, 25.8284044, 380.366516, 141.12149, -0.514567375, -5.39559722, 1.036342233E-02
6, -8.255267167E-04, 1.998876454E-03, 3.799415281E-04, -9.223811503E-06, -6.983400817E-05, 1.418208058E-07, -2.741679084E-03, 3.153637401E-03, -4.119582736E-04, -1.802621409E-05, -3.186319605E-03, 5.474901627E-06, 53.7884617, 501.347717, 244.808807, -0.730809689, -5.53300214, 1.123657078E-02
6.2, -2.573646343E-04, 4.891686549E-04, 3.866536572E-04, -2.61302921E-06, -7.131303937E-05, 1.451808771E-07, -2.741679084E-03, 3.153637401E-03, -4.119582736E-04, -1.802621409E-05, -3.186319605E-03, 5.474901627E-06, 32.7189188, 151.015732, 134.771042, -0.207032442, -5.65018678, 1.15027912E-02
6.4, 3.098826273E-04, -1.018406358E-03, 3.928081132E-04, 4.009915664E-06, -7.129354708E-05, 1.462643695E-07, -2.740862779E-03, 3.152211779E-03, -4.113490431E-04, -1.80326897E-05, -3.186342306E-03, 5.474857971E-06, 11.5828924, -198.899826, 24.7233906, 0.317708732, -5.64864254, 1.158864424E-02
6.7, 6.34024007E-04, -1.605346508E-03, -9.561144907E-05, 6.67407221E-06, -5.826360575E-05, 1.160237844E-07, -6.653601304E-04, 5.724036891E-04, 9.29564485E-05, -4.070523573E-06, -3.206335241E-03, 5.532181603E-06, -26.3325796, -381.186691, -141.951736, 0.528791904, -4.6162703, 9.192653E-03
7, 8.252104744E-04, -1.999487286E-03, -3.810812486E-04, 9.362185665E-06, -6.076975114E-05, 1.241252221E-07, 2.713313908E-03, -3.125707735E-03, 4.123937397E-04, 1.931353472E-05, -3.245738451E-03, 5.643991244E-06, -54.0842037, -501.69017, -245.235046, 0.741772652, -4.81483412, 9.83453542E-03
7.2, 2.571263467E-04, -4.899613559E-04, -3.877970303E-04, 2.786269761E-06, -6.214099631E-05, 1.258882207E-07, 2.713313908E-03, -3.125707735E-03, 4.123937397E-04, 1.931353472E-05, -3.245738451E-03, 5.643991244E-06, -33.0150976, -151.399765, -135.210648, 0.220757961, -4.92347908, 9.97422263E-03
7.4, -3.101543407E-04, 1.017685165E-03, -3.939877497E-04, -3.838615982E-06, -6.212871085E-05, 1.26631619E-07, 2.712546848E-03, -3.124367562E-03, 4.118207871E-04, 1.932075247E-05, -3.245752887E-03, 5.64396214E-06, -11.8841419, 198.527359, -25.1685114, -0.304136479, -4.92250562, 1.00331232E-02
7.7, -6.344247086E-04, 1.604831486E-03, 9.46689288E-05, -6.537633453E-06, -5.336073809E-05, 1.055873895E-07, 6.384209555E-04, -5.457079969E-04, -9.27129513E-05, 5.539131962E-06, -3.258643788E-03, 5.6844965E-06, 26.0482349, 380.884232, 141.581535, -0.517982006, -4.22781229, 8.365768939E-03
